Valor,sensor1,sensor2,sensor3,sensor4,sensor5
"V 1",1,15,1,15,1
"V 2",2,14,2,14,2
"V 3",3,13,3,13,3
"V 4",4,12,4,12,4
"V 5",5,11,5,11,5
"V 6",6,10,6,10,6
"V 7",7,9,7,9,7
"V 8",8,8,8,8,8
"V 9",9,7,9,7,9
"V 10",10,6,10,6,10
"V 11",11,5,11,5,11
"V 12",12,4,12,4,12
"V 13",13,3,13,3,13
"V 14",14,2,14,2,14
"V 15",15,1,15,1,15
"V 16",1,15,1,15,1
"V 17",2,14,2,14,2
"V 18",3,13,3,13,3
"V 19",4,12,4,12,4
"V 20",5,11,5,11,5
"V 21",6,10,6,10,6
"V 22",7,9,7,9,7
"V 23",8,8,8,8,8
"V 24",9,7,9,7,9
"V 25",10,6,10,6,10
"V 26",11,5,11,5,11
"V 27",12,4,12,4,12
"V 28",13,3,13,3,13
"V 29",14,2,14,2,14
"V 30",15,1,15,1,15
"V 31",1,15,1,15,1
"V 32",2,14,2,14,2
"V 33",3,13,3,13,3
"V 34",4,12,4,12,4
"V 35",5,11,5,11,5
"V 36",6,10,6,10,6
"V 37",7,9,7,9,7
"V 38",8,8,8,8,8
"V 39",9,7,9,7,9
"V 40",10,6,10,6,10
"V 41",11,5,11,5,11
"V 42",12,4,12,4,12
"V 43",13,3,13,3,13
"V 44",14,2,14,2,14
"V 45",15,1,15,1,15
"V 46",1,15,1,15,1
"V 47",2,14,2,14,2
"V 48",3,13,3,13,3
"V 49",4,12,4,12,4
"V 50",5,11,5,11,54
"V 51",6,10,6,10,6
"V 52",7,9,7,9,7
"V 53",8,8,8,8,8
"V 54",9,7,9,7,9
"V 55",10,6,10,6,10
"V 56",11,5,11,5,11
"V 57",12,4,12,4,12
"V 58",13,3,13,3,13
"V 59",14,2,14,2,14
"V 60",15,1,15,1,15
"V 61",1,15,1,15,1
"V 62",2,14,2,14,2
"V 63",3,13,3,13,3
"V 64",4,12,4,12,4
"V 65",5,11,5,11,5
"V 66",6,10,6,10,6
"V 67",7,9,7,9,7
"V 68",8,8,8,8,8
"V 69",9,7,9,7,9
"V 70",10,6,10,6,10
"V 71",11,5,11,5,11
"V 72",12,4,12,4,12
"V 73",13,3,13,3,13
"V 74",14,2,14,2,14
"V 75",15,1,15,1,15
"V 76",1,15,1,15,1
"V 77",2,14,2,14,2
"V 78",3,13,3,13,3
"V 79",4,12,4,12,4
"V 80",5,11,5,11,5
"V 81",6,10,6,10,6
"V 82",7,9,7,9,7
"V 83",8,8,8,8,8
"V 84",9,7,9,7,9
"V 85",10,6,10,6,10
"V 86",11,5,11,5,11
"V 87",12,4,12,4,12
"V 88",13,3,13,3,13
"V 89",14,2,14,2,14
"V 90",15,1,15,1,15
"V 91",1,15,1,15,1
"V 92",2,14,2,14,2
"V 93",3,13,3,13,3
"V 94",4,12,4,12,4
"V 95",5,11,5,11,5
"V 96",6,10,6,10,6
"V 97",7,9,7,9,7
"V 98",8,8,8,8,8
"V 99",9,7,9,7,9
"V 100",10,6,10,6,10
